Nome,Idade,Sexo,Signo,Email,Estado,Telefone_fixo,Celular
Ryan Marcelo Cauã Mendes,38,Masculino,Câncer,ryan-mendes79@lojapetline.com.br,RJ,2428579843,24989589844
Clara Gabriela Agatha Vieira,80,Feminino,Touro,claragabrielavieira@mrv.com.br,PR,4135928295,41997689490
Elisa Hadassa Brenda Caldeira,36,Feminino,Gêmeos,elisa_hadassa_caldeira@sercoti.com.br,RS,5529793880,55991545354
Brenda Jaqueline Juliana Santos,71,Feminino,Leão,brenda.jaqueline.santos@mpcnet.com.br,BA,7136040888,71983839451
Antonella Emanuelly dos Santos,45,Feminino,Capricórnio,antonella_dossantos@plaman.com.br,RO,6936209303,69992920119
Hugo João Nelson Gonçalves,23,Masculino,Virgem,hugo_joao_goncalves@saboia.me,PA,9137493231,91998356523
Larissa Tereza Andrea Nogueira,26,Feminino,Capricórnio,larissa.tereza.nogueira@wnetrj.com.br,RS,5437904839,54987852734
Heitor Sebastião Teixeira,44,Masculino,Gêmeos,heitorsebastiaoteixeira@asconinternet.com.br,AM,9235470510,92981943701
Pietro Ian Moreira,63,Masculino,Áries,pietro-moreira75@ne.com,CE,8539350555,85999045256
Antonio Enrico Bernardes,79,Masculino,Câncer,antonio-bernardes79@samsaraimoveis.com.br,RJ,2439788125,24981113019
Lúcia Priscila Olivia Silveira,78,Feminino,Peixes,lucia.priscila.silveira@ecotransambiental.com.br,RS,5526048560,55983629332
Débora Nicole Isabelle Duarte,68,Feminino,Aquário,debora_duarte@pontofinalcafe.com.br,RO,6926953526,69982142617
José Fábio Danilo Silva,43,Masculino,Aquário,jose_silva@hotmail.co.jp,SC,4736991613,47989543866
Flávia Benedita Vera Aparício,46,Feminino,Gêmeos,flavia_aparicio@fazergourmet.com.br,BA,7128461733,71996213009
Murilo Elias Ferreira,60,Masculino,Leão,murilo.elias.ferreira@vieiradarocha.adv.br,MA,9835078720,98997721010
